Languagetool gets right: 2478
Out of: 5366
Accuracy: 0.462

LT correct + ours correct: 1813
LT correct + ours incorrect: 665
LT incorrect + ours correct: 1176
LT incorrect + ours incorrect: 1712

############ Correct by Languagetool, correct by us ##########
orig: Naturlich 	 correct: Natürlich ours: Natürlich
orig: voraus 	 languagetool:  	 correct: Voraus ours: voraus
orig: Neuber 	 languagetool: Räuber 	 correct: Neuburg ours: neuer
orig: Babezimmer 	 languagetool: Badezimmer 	 correct: Babyzimmer ours: zimmer
orig: voll 	 languagetool:  	 correct: Vollzeitarbeit ours: volle
orig: Zeit 	 languagetool:  	 correct: Vollzeitarbeit ours: Zeit
orig: Arbeit 	 languagetool:  	 correct: Vollzeitarbeit ours: arbeite
orig: nechst 	 languagetool: nächst 	 correct: nächsten ours: nächst
orig: briefe 	 languagetool: Briefe 	 correct: Brief ours: Briefe
orig: helfe 	 languagetool:  	 correct: Hilfe ours: helle
orig: Helle 	 languagetool:  	 correct: helle ours: Zelle
orig: Fernstem 	 languagetool: fernstem 	 correct: Fenstern ours: ernstem
orig: lebe 	 languagetool:  	 correct: Leben ours: liebe
orig: Erzhalt 	 languagetool:  	 correct: Erzähl ours: Erhalt
orig: Wiel 	 languagetool: Viel 	 correct: Weil ours: Ziel
orig: Vorauss 	 languagetool: Vorfuß 	 correct: Voraus ours: voraus
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: dar 	 languagetool:  	 correct: da ours: war
orig: Privat 	 languagetool: privat 	 correct: privat  ours: privat
orig: Rufe 	 languagetool:  	 correct: rufe ours: Ruf
orig: vermese 	 languagetool: vermäße 	 correct: vermisse ours: verlese
orig: Oder 	 languagetool:  	 correct: oder ours: der
orig: um 	 languagetool:  	 correct: umziehen ours: im
orig: ziehen 	 languagetool:  	 correct: umziehen ours: ziehen
orig: Ich 	 languagetool:  	 correct: ich ours: sich
orig: Vermesse 	 languagetool: vermesse 	 correct: vermisse ours: vermesse
orig: Grüß 	 languagetool:  	 correct: Gruß ours: Grüße
orig: Größe 	 languagetool:  	 correct: große ours: Größe
orig: kuche 	 languagetool: Zuge 	 correct: Küche ours: suche
orig: Lieber 	 languagetool:  	 correct: lieber ours: Liebe
orig: Grüssen 	 languagetool: Grüßen 	 correct: Grüße ours: Grüßen
orig: Liber 	 languagetool: Leber 	 correct: Lieber ours: Libero
orig: Liber 	 languagetool: Leber 	 correct: Liebe ours: Liter
orig: offe 	 languagetool: offen 	 correct: hoffe ours: Hoffe
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: We 	 languagetool: WE 	 correct: Wie ours: Weg
orig: Herlisch 	 languagetool: Herwig 	 correct: Herrlich ours: Heroisch
orig: Get 	 languagetool: Lädt 	 correct: geht ours: et
orig: Vile 	 languagetool: Vize 	 correct: Viele ours: File
orig: Miene 	 languagetool:  	 correct: Meine ours: Miete
orig: Wieget 	 languagetool: Wieg et 	 correct: Wie geht ours: Widget
orig: Wieget 	 languagetool: wieget 	 correct: Wie geht ours: Wiegt
orig: Wieget 	 languagetool: wieget 	 correct: Wie geht ours: Wiegt
orig: Ich 	 languagetool:  	 correct: ich ours: sich
orig: wan 	 languagetool: Wan 	 correct: Wann ours: Was
orig: arbite 	 languagetool: rapide 	 correct: arbeite ours: arbeiten
orig: diena 	 languagetool: die na 	 correct: dein ours: dient
orig: wiehast 	 languagetool: wie hast 	 correct: wie heißt ours: ziehst
orig: Liber 	 languagetool: Leber 	 correct: Lieber ours: Libero
orig: hause 	 languagetool:  	 correct: Hause ours: hause
orig: Tschüs 	 languagetool:  	 correct: Tschüss ours: Tschad
orig: Müter 	 languagetool: Meter 	 correct: Mutter ours: Meter
orig: GLÜCKWÜNSCH 	 languagetool: GLÜCK WÜNSCH 	 correct: GLÜCKWUNSCH ours: Glückwünsche
orig: Fragen 	 languagetool:  	 correct: fragen ours: Fragen
orig: Aufwiederhören 	 languagetool:  	 correct: Auf Wiederhören ours: Wiederholen
orig: Tschuch 	 languagetool: Schlug 	 correct: Tschüss ours: Schuh
orig: get 	 languagetool:  	 correct: geht ours: gut
orig: qm. größe 	 languagetool:  	 correct: qm Größe ours: Eigröße
orig: gehst 	 languagetool:  	 correct: geht ours: Geht
orig: Freundlich 	 languagetool: freundlich 	 correct: freundlichen ours: Freundliche
orig: Schule 	 languagetool:  	 correct: Schuljahr ours: Schule
orig: Jahr 	 languagetool:  	 correct: Schuljahr ours: Jahr
orig: Bädzimmer 	 languagetool: Betzimmer 	 correct: Badezimmer ours: zimmer
orig: Kinder 	 languagetool:  	 correct: Kinderzimmer ours: Kinder
orig: Zimmer 	 languagetool:  	 correct: Kinderzimmer ours: immer
orig: Kammst 	 languagetool: Kamms 	 correct: Kannst ours: Kommst
orig: Wohnunsuchen 	 languagetool: Wohnungssuchen 	 correct: Wohnung suchen ours: Wohnungen
orig: i 	 languagetool:  	 correct: ich ours: i
orig: Liber 	 languagetool: Leber 	 correct: Lieber ours: Liter
orig: mier 	 languagetool: hier 	 correct: mir ours: vier
orig: markplatz 	 languagetool: Parkplatz 	 correct: Marktplatz ours: Marienplatz
orig: Groß 	 languagetool:  	 correct: Grüße ours: Gruß
orig: Liber 	 languagetool: Leber 	 correct: Liebe ours: Liter
orig: Hute 	 languagetool: Hüte 	 correct: heute ours: Hure
orig: Liber 	 languagetool: Leber 	 correct: Liebe ours: Liter
orig: Arbeitet 	 languagetool: arbeitet 	 correct: Arbeit ours: Arbeiten
orig: badenhose 	 languagetool: baden Hose 	 correct: Badehose ours: gnadenlose
orig: swimmen 	 languagetool: stimmen 	 correct: schwimmen ours: Stimmen
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: Orangensaft 	 languagetool:  	 correct: Orangensaftflasche ours: Orangeat
orig: flasche 	 languagetool: Flasche 	 correct: Orangensaftflasche ours: Flasche
orig: Früchtuk 	 languagetool: Früchte 	 correct: Frühstück ours: Frachter
orig: zuchause 	 languagetool: zuhause 	 correct: zu Hause ours: zuhause
orig: tool 	 languagetool: Tool 	 correct: toll ours: cool
orig: Restoran 	 languagetool: Restorgan 	 correct: Restaurant ours: Rektorat
orig: schwimmen 	 languagetool:  	 correct: Schwimmkleidung ours: schlimmen
orig: Kleidung 	 languagetool:  	 correct: Schwimmkleidung ours: Kleidung
orig: froind 	 languagetool: freund 	 correct: Freund ours: freund
orig: gehee 	 languagetool: ging 	 correct: gehe ours: gehen
orig: gummi 	 languagetool: Gummi 	 correct: Gummibärchen ours: Gummi
orig: chi 	 languagetool:  	 correct: ich ours: chic
orig: Haltestele 	 languagetool:  	 correct: Haltestelle ours: Haltestrebe
orig: Ville 	 languagetool:  	 correct: Viele ours: Villa
orig: Hallo 	 languagetool:  	 correct: hallo ours: Hallo
orig: Fitness 	 languagetool:  	 correct: Fitnessclub ours: Fitness
orig: club 	 languagetool: Club 	 correct: Fitnessclub ours: Club
orig: antworter 	 languagetool: antwortet 	 correct: antworten ours: antwortet
orig: scwimen 	 languagetool: schien 	 correct: Schwimmen ours: schwimmen
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: grußen 	 languagetool: grüßen 	 correct: Grüßen ours: grüßen
orig: junge 	 languagetool:  	 correct: Junge ours: jung
orig: Liber 	 languagetool: Leber 	 correct: Lieber ours: Libero
orig: fil 	 languagetool: fiel 	 correct: viel ours: fiel
orig: fill 	 languagetool: fiel 	 correct: viel ours: will
orig: will 	 languagetool:  	 correct: viel ours: will
orig: Söine 	 languagetool: Söhne 	 correct: Schöne ours: Seine
orig: gehst 	 languagetool:  	 correct: geht´s ours: geht
orig: mia 	 languagetool: Mia 	 correct: mir ours: Mir
orig: Atwortes 	 languagetool: Akkordes 	 correct: Antwortest ours: Antworten
orig: e-mal 	 languagetool:  	 correct: E-Mail ours: mal
orig: jets 	 languagetool: Jets 	 correct: jetzt ours: Jens
orig: jets 	 languagetool: Jets 	 correct: jetzt ours: Jens
orig: KrankenHaus 	 languagetool:  	 correct: Krankenhaus ours: Krankens
orig: Heiß 	 languagetool:  	 correct: heißt ours: heiß
orig: glück 	 languagetool: Glück 	 correct: glücklich ours: Glück
orig: das 	 languagetool:  	 correct: dass ours: das
orig: zehe 	 languagetool: Zehe 	 correct: sehen ours: zehn
orig: freund 	 languagetool:  	 correct: Freund ours: freunde
orig: Mitt 	 languagetool: Mitte 	 correct: Mit ours: Mitte
orig: vrondichen 	 languagetool: frostigen 	 correct: freundlichen ours: gründlichen
orig: hopfe 	 languagetool: Höfe 	 correct: hoffe ours: Hoffe
orig: wunsche 	 languagetool: Wunsche 	 correct: wünsche ours: Wünsche
orig: GlückwünschezubabY 	 languagetool:  	 correct: Glückwünsche zu Baby ours: Glückwünsche
orig: ser 	 languagetool:  	 correct: sehr ours: der
orig: schun 	 languagetool: schon 	 correct: schön ours: schon
orig: Meine 	 languagetool:  	 correct: meine ours: eine
orig: getes 	 languagetool: jedes 	 correct: geht es ours: gutes
orig: Gesund 	 languagetool:  	 correct: Gesundheit ours: Grund
orig: freindlichen 	 languagetool: feindlichen 	 correct: freundlichen ours: freundlicher
orig: auswelst 	 languagetool: ausweist 	 correct: auswählst ours: ausgehst
orig: ordum 	 languagetool: rotem 	 correct: Ordnung ours: order
orig: grusse 	 languagetool:  	 correct: Grüße ours: Presse
orig: gesuntcheit 	 languagetool: Gesundheit 	 correct: gesund ours: Gesundheit
orig: Vroümlich 	 languagetool: Urtümlich 	 correct: freue mich ours: räumlich
orig: Menchen 	 languagetool: Mengen 	 correct: Mädchen ours: Menschen
orig: menschen 	 languagetool: Menschen 	 correct: Mädchen ours: Menschen
orig: Shöenen 	 languagetool: Szenen 	 correct: schönen ours: Szenen
orig: Seine 	 languagetool:  	 correct: seine ours: eine
orig: LieblingsFreund 	 languagetool: Lieblings Freund 	 correct: Lieblingsfreund ours: Lieblings
orig: Besuchen 	 languagetool:  	 correct: besuchen ours: Besucher
orig: das 	 languagetool:  	 correct: dass ours: das
orig: Mars 	 languagetool:  	 correct: März ours: Mark
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: Gruß 	 languagetool:  	 correct: grüß ours: Gruß
orig: Frühlig 	 languagetool: Frühling 	 correct: fröhlich ours: rührig
orig: frülig 	 languagetool: völlig 	 correct: fröhlich ours: fällig
orig: Ihrene 	 languagetool: Irene 	 correct: Ihnen ours: Ihren
orig: shön/nett 	 languagetool:  	 correct: schön/nett ours: könntet
orig: zwilingers 	 languagetool:  	 correct: Zwillingsvater ours: Zwingers
orig: Vater 	 languagetool:  	 correct: Zwillingsvater ours: Vater
orig: Gesenk 	 languagetool:  	 correct: Geschenk ours: Gelenk
orig: Tut 	 languagetool:  	 correct: tut ours: Tut
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: grüße 	 languagetool:  	 correct: Grüße ours: große
orig: Gesund 	 languagetool:  	 correct: Gesundheit ours: Geduld
orig: frohe 	 languagetool:  	 correct: freue ours: froh
orig: Gesund 	 languagetool: gesund 	 correct: Gesundheit ours: gesund
orig: Arbeitstele 	 languagetool: Arbeit Stele 	 correct: Arbeitsstelle ours: arbeitete
orig: Antwortet 	 languagetool:  	 correct: Antwort ours: Antworten
orig: schinkt 	 languagetool: gingt 	 correct: schick ours: schickt
orig: schreipt 	 languagetool: schreibt 	 correct: schreib ours: schreibt
orig: gutte 	 languagetool: gute 	 correct: Gute ours: gute
orig: Wünsche 	 languagetool:  	 correct: wünsche ours: Wünsche
orig: mit 	 languagetool:  	 correct: mitbringen ours: mit
orig: bringen 	 languagetool:  	 correct: mitbringen ours: bringen
orig: hinnen 	 languagetool:  	 correct: Ihnen ours: innen
orig: Tool 	 languagetool:  	 correct: Toll ours: Tool
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: 3 	 languagetool:  	 correct: Dreizimmerwohnung ours: 3
orig: zimmer 	 languagetool: Zimmer 	 correct: Dreizimmerwohnung ours: Zimmer
orig: , 	 languagetool:  	 correct: Dreizimmerwohnung ours: ,
orig: Wohnung 	 languagetool:  	 correct: Dreizimmerwohnung ours: Wohnen
orig: Daine 	 languagetool: Seine 	 correct: Deine ours: Raine
orig: 3 	 languagetool:  	 correct: Dreizimmerwohnung ours: 3
orig: Zimmer 	 languagetool:  	 correct: Dreizimmerwohnung ours: Zimmer
orig: Wohnung 	 languagetool:  	 correct: Dreizimmerwohnung ours: Wohnung
orig: Liber 	 languagetool: Leber 	 correct: Lieber ours: Libero
orig: be 	 languagetool: BE 	 correct: bekommen ours: de
orig: kommen 	 languagetool:  	 correct: bekommen ours: kommen
orig: hist 	 languagetool: ist 	 correct: heißt ours: ist
orig: Kraghen 	 languagetool: Kraken 	 correct: Krankenhaus ours: Kragen
orig: House 	 languagetool:  	 correct: Krankenhaus ours: Hose
orig: hist 	 languagetool: ist 	 correct: heißt ours: ist
orig: hist 	 languagetool: ist 	 correct: heißt ours: ist
orig: Vile 	 languagetool: Vize 	 correct: Viele ours: Ville
orig: Vile 	 languagetool: Vize 	 correct: Viele, viele ours: File
orig: , 	 languagetool:  	 correct: Viele, viele ours: ,
orig: vile 	 languagetool: viele 	 correct: Viele, viele ours: viele
orig: wüsche 	 languagetool:  	 correct: wünsche ours: Wünsche
orig: KrankenHause 	 languagetool: Kranken hause 	 correct: Krankenhaus ours: Frankenhausen
orig: Heisen 	 languagetool: Heizen 	 correct: heißt ours: Hessen
orig: Bitteschreiben 	 languagetool: Bitte schreiben 	 correct: Bitte schreibe ours: Beschreiben
orig: mit 	 languagetool:  	 correct: mitbringen ours: mit
orig: bringen 	 languagetool:  	 correct: mitbringen ours: bringen
orig: 3Zimmer 	 languagetool:  	 correct: Dreizimmerwohnung ours: Zimmer
orig: Wohnung 	 languagetool:  	 correct: Dreizimmerwohnung ours: Wohnung
orig: wigets 	 languagetool: wichest 	 correct: wie geht´s ours: wiegt
orig: hastu 	 languagetool: Hastu 	 correct: Hast du ours: Hat
orig: BanHof 	 languagetool: Bahnhof 	 correct: Bahnhofeingang ours: Banjo
orig: Aingang 	 languagetool: Eingang 	 correct: Bahnhofeingang ours: Eingang
orig: Bade 	 languagetool:  	 correct: Bademantel ours: bade
orig: mantel 	 languagetool: Mantel 	 correct: Bademantel ours: Mantel
orig: Schwimmen 	 languagetool:  	 correct: Schwimmsachen ours: Schwimmen
orig: schen 	 languagetool: gen 	 correct: Schwimmsachen ours: schon
orig: Kliens 	 languagetool: Klient 	 correct: kleines ours: Klient
orig: esen 	 languagetool: äsen 	 correct: Essen ours: lesen
orig: danie 	 languagetool: da nie 	 correct: deine ours: Daniel
orig: coola 	 languagetool: cool 	 correct: Cola ours: cool
orig: Sport 	 languagetool:  	 correct: Sportzentrum ours: Sport
orig: Sentrom 	 languagetool: Syndrom 	 correct: Sportzentrum ours: Zentrum
orig: flasche 	 languagetool: Flasche 	 correct: Flaschen ours: falsche
orig: wel 	 languagetool: Wel 	 correct: Viele ours: Weil
orig: grosse 	 languagetool: große 	 correct: Grüße ours: Glosse
orig: Liebe 	 languagetool:  	 correct: liebe ours: Liebe
orig: Nächten 	 languagetool:  	 correct: Nächsten ours: Nächte
orig: schwimmenbad 	 languagetool: schwimmen Bad 	 correct: Schwimmbad ours: schwimmen
orig: Hausschue 	 languagetool: Hausgut 	 correct: Hausschuhe ours: ausschaue
orig: Hausschue 	 languagetool: Hausgut 	 correct: Hausschuhe ours: ausschaue
orig: hir 	 languagetool: hier 	 correct: dir? ours: mir
orig: wochnenden 	 languagetool: wohnenden 	 correct: Wochenende ours: wachsenden
orig: dissen 	 languagetool: dessen 	 correct: dieses ours: diesen
orig: wochen 	 languagetool: Wochen 	 correct: Wochenende ours: Wochen
orig: enden 	 languagetool:  	 correct: Wochenende ours: ende
orig: jetes 	 languagetool: jedes 	 correct: jetzt ours: jedes
orig: Sint 	 languagetool: Sind 	 correct: sind ours: Sinn
orig: Fata 	 languagetool:  	 correct: Vater ours: Data
orig: freumich 	 languagetool: freu mich 	 correct: freue mich ours: freilich
orig: Vie 	 languagetool: Die 	 correct: Wie ours: Sie
orig: istas 	 languagetool: Vistas 	 correct: ist das ours: ist
orig: aien 	 languagetool: eine 	 correct: ein ours: Laien
orig: oke 	 languagetool: Ecke 	 correct: ok ours: Ode
orig: wigetes 	 languagetool: eigenes 	 correct: wie geht es ours: wiegte
orig: ir 	 languagetool: IR 	 correct: ihr ours: er
orig: oke 	 languagetool: Ecke 	 correct: ok ours: Oker
orig: ir 	 languagetool: IR 	 correct: ihr ours: mir
orig: vor 	 languagetool:  	 correct: vorbeikommen ours: von
orig: bei 	 languagetool:  	 correct: vorbeikommen ours: bei
orig: kommen 	 languagetool:  	 correct: vorbeikommen ours: kommen
orig: Gruse 	 languagetool: Gruße 	 correct: Grüße ours: Grube
orig: Vigehet 	 languagetool: Viehes 	 correct: Wie ours: Geht
orig: ire 	 languagetool: Ire 	 correct: geht ours: Ihre
orig: Mein 	 languagetool:  	 correct: mein ours: Mein
orig: kegommt 	 languagetool: bekommt 	 correct: bekommen ours: bekommt
orig: Hezlichen 	 languagetool: Heiligen 	 correct: Herzlichen ours: herzliches
orig: Glück 	 languagetool:  	 correct: Glückwunsch ours: Glück
orig: wünsch 	 languagetool:  	 correct: Glückwunsch ours: wünscht
orig: Höffntlich 	 languagetool: Öffentlich 	 correct: Hoffentlich ours: Öffentliche
orig: Freundlich 	 languagetool:  	 correct: freundlichen ours: freundliche
orig: LiBe 	 languagetool: Lise 	 correct: Lieber ours: Liebe
orig: Vil 	 languagetool: Nil 	 correct: viele ours: viel
orig: Vie 	 languagetool: Die 	 correct: Wie ours: Sie
orig: Liber 	 languagetool: Leber 	 correct: Lieber ours: Liter
orig: ein 	 languagetool:  	 correct: Ein- oder Zweizimmerwohnung ours: ein
orig: oder 	 languagetool:  	 correct: Ein- oder Zweizimmerwohnung ours: oder
orig: zwei 	 languagetool:  	 correct: Ein- oder Zweizimmerwohnung ours: zwei
orig: Zimmer 	 languagetool:  	 correct: Ein- oder Zweizimmerwohnung ours: Zimmer
orig: Wohnung 	 languagetool:  	 correct: Ein- oder Zweizimmerwohnung ours: Wohnung
orig: giest 	 languagetool: gießt 	 correct: geht es ours: liest
orig: Große 	 languagetool:  	 correct: Grüßen ours: Größe
orig: Freundlich 	 languagetool: freundlich 	 correct: freundlichen ours: freundlich
orig: Zwei 	 languagetool:  	 correct: Zweizimmerwohnung ours: zwei
orig: Zimmerwohnung 	 languagetool:  	 correct: Zweizimmerwohnung ours: Türmerwohnung
orig: Schlozimer 	 languagetool: Schlösser 	 correct: Schlafzimmer ours: Schleier
orig: ziew 	 languagetool: sie 	 correct: Zweizimmerwohnung suchen ours: ziel
orig: Zimmer 	 languagetool:  	 correct: Zweizimmerwohnung suchen ours: Zimmer
orig: Wohnungssuche 	 languagetool:  	 correct: Zweizimmerwohnung suchen ours: wohnungsnahe
orig: ein 	 languagetool:  	 correct: Einzimmerwohnung ours: ein
orig: Zimmer 	 languagetool:  	 correct: Einzimmerwohnung ours: Zimmer
orig: Wohnung 	 languagetool:  	 correct: Einzimmerwohnung ours: Wohnung
orig: Kucher 	 languagetool: Bücher 	 correct: Küche ours: Kuchen
orig: Größe 	 languagetool:  	 correct: großen ours: Größe
orig: Kille 	 languagetool:  	 correct: Keller ours: Wille
orig: Siet 	 languagetool: Lied 	 correct: Zeit ours: Sie
orig: einbischen 	 languagetool: einzigen 	 correct: ein bisschen ours: einmischen
orig: Quadrat 	 languagetool:  	 correct: Quadratmeter ours: Quadrat
orig: metre 	 languagetool: fedre 	 correct: Quadratmeter ours: mehre
orig: geh´s 	 languagetool: geh's 	 correct: geht´s ours: geh
orig: Bushaltestele 	 languagetool:  	 correct: Bushaltestelle ours: boshaftesten
orig: EM 	 languagetool:  	 correct: IM ours: EU
orig: TREFEN 	 languagetool:  	 correct: TREFFEN ours: Treffen
orig: UN 	 languagetool:  	 correct: UNS ODER UM ours: US
orig: SCHUSS 	 languagetool:  	 correct: SCHLUSS ours: Schuss
orig: SCHON 	 languagetool:  	 correct: SCHÖN ours: schon
orig: FON 	 languagetool: Fon 	 correct: VON ours: FAQ
orig: MIER 	 languagetool: MDR 	 correct: MIR ours: MDR
orig: schwmbad 	 languagetool: schimpft 	 correct: Schwimmbad ours: schmal
orig: Driken 	 languagetool: Drucken 	 correct: trinken ours: Trinken
orig: tauch 	 languagetool:  	 correct: Taucherbrille ours: auch
orig: Birele 	 languagetool: Viele 	 correct: Taucherbrille ours: Ziele
orig: mit 	 languagetool:  	 correct: mitbringen ours: mit
orig: Bringen 	 languagetool:  	 correct: mitbringen ours: bringen
orig: das 	 languagetool:  	 correct: dass ours: das
orig: mit 	 languagetool:  	 correct: mitkommst ours: mir
orig: kommst 	 languagetool:  	 correct: mitkommst ours: kommt
orig: mit 	 languagetool:  	 correct: mitnehmen ours: mit
orig: nemen 	 languagetool: neuen 	 correct: mitnehmen ours: nehmen
orig: Tauch 	 languagetool:  	 correct: Taucherbrille ours: auch
orig: Birila 	 languagetool: Birma 	 correct: Taucherbrille ours: Irina
orig: mit 	 languagetool:  	 correct: mitbringen ours: mit
orig: beringen 	 languagetool:  	 correct: mitbringen ours: bringen
orig: speciall 	 languagetool: speziell 	 correct: spezielle ours: speziell
orig: Leber 	 languagetool:  	 correct: Liebe ours: Weber
orig: veter 	 languagetool: feder 	 correct: Wetter ours: Väter
orig: wan 	 languagetool: Wan 	 correct: Wann ours: Was
orig: saiet 	 languagetool: zeigt 	 correct: Zeit ours: Saint
orig: Komenn 	 languagetool: Moment 	 correct: kommen ours: Kommen
orig: fruendlech 	 languagetool: freundlich 	 correct: freundlichen ours: freundliche
orig: gruße 	 languagetool: Gruße 	 correct: Grüßen ours: grüße
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: Bisen 	 languagetool: Eisen 	 correct: bisschen ours: Eisen
orig: mit 	 languagetool:  	 correct: mitbringen ours: mit
orig: bringen 	 languagetool:  	 correct: mitbringen ours: bringen
orig: ich 	 languagetool:  	 correct: Ich ours: Sich
orig: freundlile 	 languagetool: freundlich 	 correct: freundliche ours: freundlich
orig: gehetdir 	 languagetool: gehender 	 correct: geht es dir ours: geheim
orig: Has 	 languagetool: Das 	 correct: Hast ours: Hab
orig: Trefen 	 languagetool: Tränen 	 correct: treffen ours: Treffen
orig: wier 	 languagetool: vier 	 correct: wir ours: Wir
orig: Trefen 	 languagetool: Tränen 	 correct: treffen ours: Treffen
orig: Birings 	 languagetool: Berings 	 correct: bringst ours: Frings
orig: Kaser 	 languagetool: Käser 	 correct: Kaiserbrötchen ours: Kaiser
orig: Börcen 	 languagetool: Birken 	 correct: Kaiserbrötchen ours: Börse
orig: Fur 	 languagetool: Für 	 correct: für ours: Fuß
orig: Azten 	 languagetool: Arten 	 correct: Arzt ours: alten
orig: hollen 	 languagetool: sollen 	 correct: holen ours: wollen
orig: besoche 	 languagetool: bezöge 	 correct: besuchen ours: besuche
orig: centrem 	 languagetool: kentre 	 correct: Zentrum ours: extrem
orig: viel 	 languagetool:  	 correct: Viel ours: Viele
orig: Sona 	 languagetool: So na 	 correct: Sohn ours: Sony
orig: Senter 	 languagetool: Sender 	 correct: Zentrum ours: Sender
orig: u 	 languagetool:  	 correct: und ours: u
orig: Viel 	 languagetool: viel 	 correct: Viele Grüße ours: Viel
orig: Gruße 	 languagetool:  	 correct: Viele Grüße ours: Grüße
orig: Bus 	 languagetool:  	 correct: Busfahrkarte ours: Bus
orig: fahrKarte 	 languagetool: Fahrkarte 	 correct: Busfahrkarte ours: fahrbar
orig: Veile 	 languagetool: Teile 	 correct: Viele ours: Teile
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: Fohrkorte 	 languagetool: Vororte 	 correct: Fahrkarte ours: Kohorte
orig: Wochenen 	 languagetool: Vogesen 	 correct: Wochenende ours: Wochen
orig: Lieder 	 languagetool:  	 correct: leider ours: Lieder
orig: weill 	 languagetool: Weill 	 correct: weil ours: Weil
orig: Wendu 	 languagetool: Wen du 	 correct: Wenn ours: Wende
orig: Fohrkorte 	 languagetool: Vororte 	 correct: Fahrkarte ours: Kohorte
orig: nich 	 languagetool: sich 	 correct: mich ours: sich
orig: E-Moil 	 languagetool: Tamoil 	 correct: E-Mail ours: Mail
orig: Vielen 	 languagetool: vielen 	 correct: Viele ours: Vielen
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: flugen 	 languagetool: fluchen 	 correct: fliegen ours: flogen
orig: Wen 	 languagetool:  	 correct: Wenn ours: Wen
orig: Wen 	 languagetool: wen 	 correct: wenn ours: wen
orig: rauf 	 languagetool:  	 correct: ruf ours: auf
orig: fer 	 languagetool: der 	 correct: vier ours: der
orig: kusche 	 languagetool:  	 correct: Küche ours: dusche
orig: Grage 	 languagetool: Frage 	 correct: Garage ours: Frage
orig: kin 	 languagetool: in 	 correct: Kinder ours: in
orig: der 	 languagetool:  	 correct: Kinder ours: oder
orig: platze 	 languagetool:  	 correct: Platz ours: platte
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: GroBe 	 languagetool: groBe 	 correct: große ours: grobe
orig: varaus 	 languagetool: daraus 	 correct: Voraus ours: voraus
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: moschte 	 languagetool: moste 	 correct: möchte ours: mochte
orig: wohnung 	 languagetool: Wohnung 	 correct: wohnung ours: Wohnung
orig: kuche 	 languagetool: Zuge 	 correct: Küche ours: suche
orig: om 	 languagetool: im 	 correct: am ours: im
orig: Heben 	 languagetool:  	 correct: Nebenkosten ours: Leben
orig: koste 	 languagetool:  	 correct: Nebenkosten ours: kosten
orig: Won 	 languagetool: Wohn 	 correct: ??? ours: Ton
orig: miete 	 languagetool:  	 correct: ??? ours: Miete
orig: drei 	 languagetool:  	 correct: Dreizimmerwohnung ours: drei
orig: Zimmer 	 languagetool:  	 correct: Dreizimmerwohnung ours: Zimmer
orig: Wohnung 	 languagetool:  	 correct: Dreizimmerwohnung ours: Wohnung
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: varaus 	 languagetool: daraus 	 correct: Voraus ours: voraus
orig: voraus 	 languagetool:  	 correct: Voraus ours: voraus
orig: Groß 	 languagetool: groß 	 correct: große ours: groß
orig: Mein 	 languagetool:  	 correct: mein ours: Mein
orig: seiben 	 languagetool: seinen 	 correct: sieben ours: seinen
orig: schlafe 	 languagetool:  	 correct: Schlafzimmer ours: schlaf
orig: zimmer 	 languagetool: Zimmer 	 correct: Schlafzimmer ours: Zimmer
orig: 41/2 	 languagetool:  	 correct: Viereinhalbzimmerwohnung ours: PC
orig: Zimmer 	 languagetool:  	 correct: Viereinhalbzimmerwohnung ours: Zimmer
orig: Wohnung 	 languagetool:  	 correct: Viereinhalbzimmerwohnung ours: Wohnung
orig: ca 	 languagetool: ca. 	 correct: Viereinhalbzimmerwohnung ours: ca.
orig: Güste 	 languagetool: Küste 	 correct: Gäste-WC ours: Gäste
orig: WC 	 languagetool:  	 correct: Gäste-WC ours: PC
orig: wird 	 languagetool:  	 correct: Gäste-WC ours: wird
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: SchlafenZimmer 	 languagetool: Schlafen Zimmer 	 correct: Schlafzimmer ours: Schlafengehen
orig: Ich 	 languagetool:  	 correct: ich ours: sich
orig: Warm 	 languagetool:  	 correct: Warmmiete ours: warm
orig: miete 	 languagetool:  	 correct: Warmmiete ours: Miete
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: Man 	 languagetool: man 	 correct: Mann ours: an
orig: Zweite 	 languagetool:  	 correct:  zweite ours: Zweige
orig: geherteDamen 	 languagetool: gehend-Damen 	 correct: geehrte ours: gehärteten
orig: Ich 	 languagetool:  	 correct: ich ours: Ich
orig: Suche 	 languagetool:  	 correct: suche ours: Suche
